,Count,Mean,Median,Std Dev,Min,Max,Q1,Q3,Skewness,Kurtosis
Rating,50000.0,4.21176,5.0,1.1221153618312625,1.0,5.0,4.0,5.0,-1.4258502910660702,1.1569203283740381
Review Length (Words),50000.0,110.58532,47.0,175.8757673080863,1.0,5281.0,22.0,126.0,5.576488484001712,71.55319980693552
